candidate,layer,sources,benchmark_results,compute_and_cost,implementation_health,strengths,weaknesses,confidence_status,relay_applicability,external_evidence_closes_decision,disposition
"Relay deterministic policy","control/governance","support_desk/tools.py; support_desk/store.py; tests/test_agent_tools.py","Local contract tests prove typed plans, approval, per-action receipts and retries; no public agent benchmark result","Local CPU; no model cost","Implemented at 9a4c452 and regression tested","Inspectable order; stable; strongest policy guarantees","Cannot interpret novel long-horizon requests without bounded model assistance","established","Mandatory baseline and high-risk route","yes for current fixed procedures","retain core"
"Direct typed function calling / ReAct","control/tool use","https://arxiv.org/abs/2210.03629; https://gorilla.cs.berkeley.edu/leaderboard","ReAct established interleaved action/observation; BFCL V4 covers single, multi-turn, parallel, relevance and latency","One model call per turn/tool step; provider dependent","Supported by every audited framework; Relay already has an OpenAI-compatible typed seam","Low orchestration overhead; reacts to observations","Can loop, choose irrelevant tools or violate procedure without external policy","provisional","Short/medium reversible support tasks behind Relay policy","no","first controlled profile"
"Plan-then-execute","planning","https://aclanthology.org/2025.acl-long.958/; https://aclanthology.org/2025.acl-long.1499/","PlanningArena reports substantial remaining failures; plan criteria include executability, completeness and efficiency","Extra planning call and plan tokens","Available in LangGraph, Semantic Kernel and custom typed plans","Exposes dependencies and missing steps","Stale plans; added latency; a plausible plan can still be unexecutable","provisional","Longer tasks with known goal and multiple dependencies","no","benchmark after direct control"
"Bounded replanning","planning/recovery","https://arxiv.org/abs/2606.04874; https://aclanthology.org/2025.emnlp-main.1697/","APB tests feedback-conditioned planning and broken tools; ReflAct reports state-grounded gains in ALFWorld","Additional calls only after qualifying feedback","Can refit Relay planner around existing store and attempt taxonomy","Recovers from changed state or broken tool","May repeat successful work or amplify wrong state if receipts are ignored","provisional","Only after failed/state-changing observation with step budget","no","first controlled profile with direct calling"
"Parallel independent calls","scheduling","https://gorilla.cs.berkeley.edu/leaderboard; https://github.com/langchain-ai/langgraph/issues/8517","BFCL includes parallel-call correctness; no Relay latency/correctness result","Lower wall time but concurrent provider/tool load","Framework support is common; current LangGraph issue shows concurrency controls need verification","Latency win for independent reads","Ordering, rate-limit and shared-state races; unsafe for dependent writes","provisional","Read-only independent calls after dependency analysis","no","later latency profile"
"LATS/tree search","planning/search","https://arxiv.org/abs/2310.04406; https://github.com/lapisrocks/LanguageAgentTreeSearch","Published gains on coding, WebShop and QA; not support-policy tasks","Multiple trajectories, evaluator calls and high latency","Research repository; not audited as a production dependency","Explores alternatives and backtracks","Costly; value-model errors; branch side effects must be simulated","contested","Only reversible high-branch simulations","yes for exclusion from first Relay experiments","defer"
"Deterministic verifier","verification","support_desk/schemas.py; support_desk/store.py; https://arxiv.org/abs/2406.12045","tau-bench scores exact database end state; Relay has exact schema and receipt predicates","Negligible local CPU","Implemented locally; benchmark adapters remain unbuilt","Auditable; stable; can enforce policy and end state","Cannot judge all semantic quality","established","Primary grader and runtime gate","yes","retain core and expand fixtures"
"Reflection/model critic","verification","https://arxiv.org/abs/2303.11366; https://aclanthology.org/2025.emnlp-main.1697/","Published task-specific gains; 2026 reliability evidence reports ReAct can outperform Reflexion under combined stress","One or more extra model calls; judge variance","Framework support is easy; no calibrated Relay critic","Can repair semantic/tool errors with feedback","Self-confirmation, false rejection and extra latency/cost","provisional","Semantic choices only after deterministic checks","no","later controlled experiment"
"Durable episodic/semantic memory","memory","https://aclanthology.org/2026.acl-long.27/; https://github.com/microsoft/STATE-Bench","Studies show experience-following, error propagation and misaligned replay; STATE-Bench supplies 450 enterprise tasks","Storage, retrieval and prompt tokens; privacy/retention burden","STATE-Bench pin 4efcbf2; open scorer defect #36","May improve repeated cross-run tasks","Stale/poisoned experience and authorization leakage","provisional","Only a named cross-run use case with provenance/expiry","no","exclude from first experiment"
"Procedural skill library","memory/control","https://arxiv.org/abs/2602.12430; https://github.com/microsoft/STATE-Bench","Recent surveys and skill benchmarks indicate possible reuse gains; community-skill security remains a concern","Can reduce tokens for repeated work; lifecycle/test cost","No Relay skill runtime; ordinary code already covers four tools","Versioned reusable procedures; progressive disclosure","Supply-chain, staleness, permission and test burden","provisional","Repeated governed procedures larger than current graph","no","defer; code is current control"
